staker,lp,stt,ste,faction
terra1aerscre2ac47ce549la63wd2rd668a9avjdjyy,35.826314,0,44.7828925,degens
terra1ac7lt2w5hekvrkl75mdje34sg7v2msaum7amnf,623.21,0,779.0125,degens
terra1acumcdap3ezkdtwcgcvkpvwlv5jsa9tj26nhxm,27.650969,0,34.56371125,degens
terra1acj3j77p65qrecwjxxcukle653q0px399j0tcp,132.158376,0,165.19797,degens
terra1ah62tyqharc2q5lcfpwe6p8j4fxqd9vruvs8dq,205.962432,0,257.45304,degens
terra1ah99jcanassdrjdvlwpgsgt57y4hgt5v3eu20s,0.280845,0.119997,0.47105325000000003,degens
terra1ak4mx8x4lv227pdkrxnwqjgm8vfxwfhxnth2fq,0.718484,0.1,0.998105,degens
terra1akdt0ruggxh0nzzk0w37r4emwtk6mp7ka2a0sf,9.991259,28.014313,40.503386750000004,degens
terra1ak8nda7d94kycg5crcy4x4malhmn52n867ykpw,579.819922,5.482986,730.2578885,degens
terra1akxda6h262fttny0e64trhy96m95fe3mxdpqln,0.211353,26.000001,26.26419225,degens
terra1akrzcfkf9r4vljw3eex30eu67jujmxgy9hvawa,41.002101,4.379708,55.63233425000001,degens
terra1akpz8efgy55c8amt6fjkh90m2zenmzmwgywcux,3769.540559,228,4939.92569875,degens
terra1a4m45crrrhy83r6ug7jfzfnyyhqjgcf2jqxjat,84.711363,0,105.88920375000001,degens
terra1a4chz5xhtssv6ltqu7cuagfv3s4tsglr7tczdk,70.377673,47.245143,135.21723425,degens
terra1a4224fxq54egh6tjeh94332yh5utqsra76w7s9,3.357857,1.000141,5.19746225,degens
terra1a5n6yj22xtlhznhk4sa39we4mwgu4e2t2v0u4t,2.032713,0.01,2.5508912500000003,degens
terra1a53lcrunnvna337pdppayxthxhe49taulpfa0q,0.447912,0.7,1.25989,degens
terra1a5snktalhaw9ehax9vye5399ff7v72luap9t2r,225.073803,16.286572,297.62882575,degens
terra1a5zxf0usf4dqv3ckga7lpp94sp0kmu5d29drml,0.341049,0.001,0.42731125,degens
terra1ane2dwzwm0ftxwm8udx62svm3m9rk8kmpe4jnp,0.122364,0.193858,0.34681300000000004,degens
terra1an5wehzgyaalcyju4grmu5kn9fmd3ptc35q2ql,2676.501288,0,3345.62661,degens
terra1ansggn3mkezhts9meztwemcg55welzd4fvcpzf,2.125363,210.706466,213.36316975,degens
